t,u,pH
0.0,4.0,3.354340449708149
0.1,4.0,3.3609099181455293
0.2,4.0,3.367475775036923
0.30000000000000004,4.0,3.374036590037111
0.4,4.0,3.3805909420841482
0.5,4.0,3.3871374221745425
0.6000000000000001,4.0,3.393674636073279
0.7000000000000001,4.0,3.4002012069445144
0.8,4.0,3.406715777889619
0.9,4.0,3.4132170143801916
1.0,4.0,3.419703606574744
1.1,4.0,3.426174271508915
1.2000000000000002,4.0,3.432627755150319
1.3,4.0,3.439062834310412
1.4000000000000001,4.0,3.445478318407104
1.5,4.0,3.4518730510731728
1.6,4.0,3.458245911606896
1.7000000000000002,4.0,3.4645958162626185
1.8,4.0,3.4709217193802786
1.9000000000000001,4.0,3.4772226143541243
2.0,4.0,3.483497534442048
2.1,4.0,3.4897455534180284
2.2,4.0,3.4959657860712037
2.3000000000000003,4.0,3.5021573885559825
2.4000000000000004,4.0,3.508319558598449
2.5,4.0,3.514451535564998
2.6,4.0,3.5205526003997685
2.7,4.0,3.5266220754379534
2.8000000000000003,4.0,3.5326593241024455
2.9000000000000004,4.0,3.538663750491628
3.0,4.0,3.5446347988663
3.1,4.0,3.550571953043878
3.2,4.0,3.5564747357080493
3.3000000000000003,4.0,3.562342707642029
3.4000000000000004,4.0,3.5681754668934857
3.5,4.0,3.5739726478790157
3.6,4.0,3.579733920435877
3.7,4.0,3.58545898882839
3.8000000000000003,4.0,3.591147590716166
3.9000000000000004,4.0,3.596799496090953
4.0,4.0,3.6024145061885693
4.1000000000000005,4.0,3.6079924523820064
4.2,4.0,3.613533195061405
4.3,4.0,3.6190366225062154
4.4,4.0,3.6245026497544552
4.5,4.0,3.6299312174735863
4.6000000000000005,4.0,3.6353222908371414
4.7,4.0,3.640675858410844
4.800000000000001,4.0,3.6459919310516087
4.9,4.0,3.6512705408224257
5.0,4.0,3.6565117399258154
5.1000000000000005,4.0,3.66171559965819
5.2,4.0,3.6668822093871607
5.300000000000001,4.0,3.6720116755535352
5.4,4.0,3.6771041206994632
5.5,4.0,3.6821596825239498
5.6000000000000005,4.0,3.6871785129667085
5.7,4.0,3.6921607773211065
5.800000000000001,4.0,3.697106653376756
5.9,4.0,3.702016330592127
6.0,4.0,3.7068900092973776
6.1000000000000005,4.0,3.7117278999274603
6.2,4.0,3.7165302222854266
6.300000000000001,4.0,3.7212972048357162
6.4,4.0,3.7260290840271386
6.5,4.0,3.7307261036451296
6.6000000000000005,4.0,3.7353885141928154
6.7,4.0,3.7400165723003176
6.800000000000001,4.0,3.7446105401616934
6.9,4.0,3.749170684998849
7.0,4.0,3.7536972785517175
7.1000000000000005,4.0,3.758190596593961
7.2,4.0,3.7626509184734407
7.300000000000001,4.0,3.7670785266766647
7.4,4.0,3.7714737064164146
7.5,4.0,3.7758367452417474
7.6000000000000005,4.0,3.7801679326695634
7.7,4.0,3.7844675598369264
7.800000000000001,4.0,3.788735919173332
7.9,4.0,3.7929733040921296
8.0,4.0,3.7971800087003014
8.1,4.0,3.8013563275258315
8.200000000000001,4.0,3.8055025552618997
8.3,4.0,3.8096189865271537
8.4,4.0,3.8137059156413353
8.5,4.0,3.8177636364155556
8.6,4.0,3.82179244195652
8.700000000000001,4.0,3.825792624484052
8.8,4.0,3.829764475161252
8.9,4.0,3.833708283936682
9.0,4.0,3.8376243393979577
9.1,4.0,3.841512928636183
9.200000000000001,4.0,3.845374337120653
9.3,4.0,3.849208848583294
9.4,4.0,3.853016744912328
