t,u,pH
0.0,5,3.354340449708149
0.1,5,3.36258036242415
0.2,5,3.37081578155856
0.30000000000000004,5,3.3790439139994275
0.4,5,3.387261989260383
0.5,5,3.395467267904933
0.6000000000000001,5,3.403657049706509
0.7000000000000001,5,3.4118286814786174
0.8,5,3.4199795645148012
0.9,5,3.428107161584368
1.0,5,3.436209003436757
1.1,5,3.4442826947748952
1.2000000000000002,5,3.4523259196656624
1.3,5,3.4603364463635837
1.4000000000000001,5,3.4683121315317824
1.5,5,3.4762509238520334
1.6,5,3.4841508670231973
1.7000000000000002,5,3.4920101021543126
1.8,5,3.4998268695650814
1.9000000000000001,5,3.507599510012268
2.0,5,3.515326465365636
2.1,5,3.5230062787613905
2.2,5,3.5306375942646833
2.3000000000000003,5,3.538219156075582
2.4000000000000004,5,3.5457498073149902
2.5,5,3.5532284884284002
2.6,5,3.560654235246113
2.7,5,3.568026176738691
2.8000000000000003,5,3.5753435325060337
2.9000000000000004,5,3.5826056100375903
3.0,5,3.5898118017799883
3.1,5,3.5969615820467564
3.2,5,3.6040545038029745
3.3000000000000003,5,3.611090195355624
3.4000000000000004,5,3.6180683569782235
3.5,5,3.6249887574960358
3.6,5,3.6318512308557995
3.7,5,3.6386556727016046
3.8000000000000003,5,3.6454020369762206
3.9000000000000004,5,3.652090332564941
4.0,5,3.6587206199968523
4.1000000000000005,5,3.6652930082163677
4.2,5,3.6718076514359423
4.3,5,3.6782647460790603
4.4,5,3.6846645278209196
4.5,5,3.6910072687326934
4.6000000000000005,5,3.6972932745338425
4.7,5,3.7035228819556947
4.800000000000001,5,3.709696456218363
4.9,5,3.715814388622071
5.0,5,3.721877094253059
5.1000000000000005,5,3.727885009803482
5.2,5,3.7338385915040235
5.300000000000001,5,3.739738313167391
5.4,5,3.745584664340375
5.5,5,3.7513781485617472
5.6000000000000005,5,3.7571192817229555
5.7,5,3.7628085905283135
5.800000000000001,5,3.7684466110511754
5.9,5,3.7740338873824606
6.0,5,3.7795709703677636
6.1000000000000005,5,3.785058416429262
6.2,5,3.7904967864685757
6.300000000000001,5,3.7958866448467736
6.4,5,3.8012285584377254
6.5,5,3.806523095751076
6.6000000000000005,5,3.811770826121177
6.7,5,3.8169723189584137
6.800000000000001,5,3.822128143059447
6.9,5,3.8272388659730194
7.0,5,3.832305053418075
7.1000000000000005,5,3.8373272687510838
7.2,5,3.8423060724795612
7.300000000000001,5,3.847242021818929
7.4,5,3.852135670289974
7.5,5,3.8569875673542904
